school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,GR
1,2,18,1,2,2,4,4,4,1,3,1,2,2,0,1,2,2,2,1,1,2,2,4,3,4,1,1,3,4,7
1,2,17,1,2,1,1,1,4,5,3,2,1,2,0,2,1,2,2,2,1,1,2,5,3,3,1,1,3,2,10
1,2,15,1,1,1,1,1,4,5,4,1,1,2,0,1,2,2,2,1,1,1,2,4,3,2,2,3,3,6,12
1,2,15,1,2,1,4,2,2,3,1,1,1,3,0,2,1,2,1,1,1,1,1,3,2,2,1,1,5,0,14
1,2,16,1,2,1,3,3,5,5,1,2,1,2,0,2,1,2,2,1,1,2,2,4,3,2,1,2,5,0,12
1,1,16,1,1,1,4,3,3,5,2,1,1,2,0,2,1,2,1,1,1,1,2,5,4,2,1,2,5,6,12
1,1,16,1,1,1,2,2,5,5,1,1,1,2,0,2,2,2,2,1,1,1,2,4,4,4,1,1,3,0,13
1,2,17,1,2,2,4,4,5,1,1,1,2,2,0,1,1,2,2,1,1,2,2,4,1,4,1,1,1,2,12
1,1,15,1,1,2,3,2,3,5,1,1,1,2,0,2,1,2,2,1,1,1,2,4,2,2,1,1,1,0,16
1,1,15,1,2,1,3,4,5,5,1,1,1,2,0,2,1,2,1,1,1,1,2,5,5,1,1,1,5,0,12
1,2,15,1,2,1,4,4,1,2,2,1,1,2,0,2,1,2,2,1,1,1,2,3,3,3,1,2,2,2,14
1,2,15,1,2,1,2,1,3,5,2,2,3,3,0,2,1,2,1,1,1,1,2,5,2,2,1,1,4,0,12
1,1,15,1,1,1,4,4,2,3,3,2,1,1,0,2,1,2,1,1,1,1,2,4,3,3,1,3,5,0,12
1,1,15,1,2,1,4,3,1,5,3,1,2,2,0,2,1,2,2,1,1,1,2,5,4,3,1,2,3,0,12
1,1,15,1,2,2,2,2,5,5,1,3,1,3,0,2,1,2,2,1,1,1,1,4,5,2,1,1,3,0,14
1,2,16,1,2,1,4,4,2,5,1,1,1,1,0,2,1,2,2,1,1,1,2,4,4,4,1,2,2,6,17
1,2,16,1,2,1,4,4,3,3,2,1,1,3,0,2,1,2,1,1,1,1,2,3,2,3,1,2,2,10,13
1,2,16,1,2,1,3,3,5,5,2,1,3,2,0,1,1,2,1,1,1,2,2,5,3,2,1,1,4,2,14
1,1,17,1,2,1,3,2,3,3,3,1,1,1,3,2,1,1,1,1,1,1,2,5,5,5,2,4,5,2,8
1,1,16,1,1,1,4,3,2,5,1,2,1,1,0,2,2,2,1,1,1,1,2,3,1,3,1,3,5,6,12
1,1,15,1,2,1,4,3,1,5,2,1,1,2,0,2,2,2,2,1,1,1,2,4,4,1,1,1,1,0,13
1,1,15,1,2,1,4,4,2,2,4,2,1,1,0,2,1,1,2,1,1,1,2,5,4,2,1,1,5,0,12
1,1,16,1,1,1,4,2,1,5,3,1,1,2,0,2,2,2,1,1,1,1,2,4,5,1,1,3,5,0,13
1,1,16,1,1,1,2,2,5,5,2,1,2,2,0,2,1,2,1,1,1,1,2,5,4,4,2,4,5,2,10
1,2,15,2,2,1,2,4,3,2,3,1,1,3,0,1,1,2,1,1,1,1,2,4,3,2,1,1,5,2,10
1,2,16,1,2,1,2,2,3,3,1,1,1,1,0,2,1,2,2,2,1,1,2,1,2,2,1,3,5,6,11
1,1,15,1,2,1,2,2,5,5,1,1,1,1,0,2,1,2,2,1,1,1,2,4,2,2,1,2,5,8,12
1,1,15,1,2,1,4,2,2,3,4,1,1,1,0,2,2,2,2,1,1,1,2,2,2,4,2,4,1,0,11
1,1,16,1,1,2,3,4,3,5,1,1,1,2,0,1,1,1,1,1,1,1,2,5,3,3,1,1,5,2,12
1,1,16,1,2,1,4,4,1,1,1,1,1,2,0,2,1,1,1,1,1,1,1,4,4,5,5,5,5,4,12
1,1,15,1,2,1,4,4,2,3,1,1,1,2,0,2,1,1,2,2,1,1,2,5,4,2,3,4,5,0,11
1,1,15,1,2,1,4,4,3,3,2,1,2,2,0,2,1,2,1,1,1,1,2,4,3,1,1,1,5,2,15
1,1,15,2,2,1,4,3,1,4,3,1,1,2,0,2,1,2,1,1,1,1,1,4,5,2,1,1,5,0,14
1,1,15,1,1,1,3,3,5,5,3,1,1,2,0,2,2,2,1,2,1,1,2,5,3,2,1,1,2,0,12
1,1,16,1,2,1,3,2,5,5,1,1,1,1,0,2,1,2,2,2,1,1,2,5,4,3,1,1,5,4,12
1,2,15,1,2,1,2,3,5,5,4,2,2,1,0,2,1,2,1,1,1,2,2,3,5,1,1,1,5,4,11
1,1,15,1,1,1,4,3,1,3,1,1,1,3,0,2,1,2,1,1,1,1,2,5,4,3,1,1,4,0,14
1,1,16,2,2,2,4,4,5,1,2,1,2,3,0,2,1,2,1,1,1,1,1,2,4,3,1,1,5,4,13
1,2,15,2,2,1,3,4,3,2,3,1,1,3,0,1,1,2,1,1,1,1,2,4,3,2,1,1,5,2,12
1,2,15,2,2,1,2,2,4,5,2,1,1,1,0,1,1,2,1,1,1,2,2,4,3,1,1,1,2,8,13
1,2,16,1,1,1,2,2,5,5,1,1,2,2,0,2,1,2,1,2,1,1,1,3,3,3,1,2,3,16,11
1,1,15,1,1,1,4,4,1,5,1,3,1,1,0,2,1,2,2,2,1,1,1,5,4,3,2,4,5,8,11
1,1,15,1,2,1,4,4,3,1,3,2,1,2,0,2,1,2,1,1,1,1,2,4,3,3,1,1,5,0,15
1,1,15,1,2,1,2,2,3,3,3,2,1,1,0,1,1,2,2,1,1,1,2,5,4,1,1,1,1,0,10
1,2,16,1,1,1,2,2,5,4,3,2,2,2,1,1,2,2,1,1,1,1,2,4,3,3,2,2,5,14,11
1,2,15,1,1,2,4,3,5,5,3,1,1,2,0,1,1,1,1,1,1,1,1,5,2,2,1,1,5,4,11
1,2,16,1,1,2,3,3,5,3,1,1,1,2,0,2,1,2,2,1,1,1,2,2,3,5,1,4,3,6,13
1,1,16,1,2,1,4,3,2,3,2,1,1,4,0,2,2,2,1,1,1,1,2,4,2,2,1,1,2,2,17
1,1,15,1,2,1,4,2,1,5,1,1,1,2,0,2,1,2,2,1,1,2,2,4,3,3,2,2,5,4,12
1,2,15,1,2,1,4,4,3,1,4,2,1,2,0,1,1,2,1,2,1,1,2,4,4,4,1,1,3,2,12
1,2,16,1,1,1,2,2,3,3,3,1,3,2,0,2,1,2,2,1,1,1,2,4,3,3,2,3,4,0,13
1,2,15,1,1,1,4,2,2,5,4,1,1,2,0,2,1,2,2,1,1,1,2,4,3,3,1,1,5,0,15
1,1,15,1,1,2,4,2,2,2,4,2,2,1,0,2,2,2,2,1,1,2,2,5,5,5,3,4,5,4,9
1,2,15,1,2,1,4,4,3,3,3,1,1,1,0,1,1,2,2,1,1,1,2,3,3,4,2,3,5,0,12
1,2,15,1,1,2,3,3,5,5,4,1,1,1,0,2,2,2,2,1,1,1,2,5,3,4,4,4,1,0,13
1,2,16,1,2,2,2,1,5,5,4,1,1,2,0,2,2,2,1,1,1,1,1,5,3,4,1,1,2,2,12
1,2,15,1,2,2,4,3,3,3,2,1,1,2,0,2,1,2,1,1,1,1,2,4,3,2,1,1,1,0,15
1,1,15,1,2,1,4,4,1,2,2,1,1,2,0,2,1,2,1,1,1,2,2,3,2,2,1,1,5,8,15
1,1,15,1,1,1,1,2,5,4,1,2,1,2,0,1,1,2,1,1,1,1,2,4,3,2,1,1,5,0,14
1,2,16,1,2,1,4,2,3,5,3,1,1,2,0,2,1,1,2,1,1,1,2,4,2,3,1,1,5,2,16
1,2,16,2,2,1,4,4,2,1,4,1,1,2,0,2,1,2,1,1,1,2,2,2,4,4,2,3,4,0,16
1,2,16,1,2,1,1,1,3,3,3,2,4,1,0,1,1,2,1,2,1,1,1,5,5,5,5,5,5,0,12
1,2,16,1,1,1,1,2,5,3,2,2,1,2,0,1,2,2,1,1,1,1,2,4,4,3,1,1,1,0,12
1,2,16,1,2,1,4,3,1,2,1,1,1,3,0,1,1,2,1,1,1,1,2,3,4,4,2,4,4,0,13
1,2,15,1,1,1,4,3,3,3,2,2,1,2,0,1,2,2,1,1,1,1,1,4,4,4,2,4,2,0,12
1,2,16,1,1,1,4,3,1,3,3,1,3,2,0,2,1,2,1,1,1,1,2,5,4,3,1,2,1,2,16
1,1,15,1,2,2,4,4,5,3,2,1,1,4,0,2,1,2,1,2,1,1,1,1,3,3,5,5,3,0,12
1,2,16,1,2,1,3,1,3,5,3,1,1,4,0,1,1,2,2,1,1,1,2,4,3,3,1,2,5,0,10
1,2,15,2,1,1,2,2,2,3,2,1,2,2,0,1,1,2,2,1,1,1,2,4,1,3,1,3,4,0,11
1,2,15,2,1,1,3,1,5,5,2,2,2,4,0,2,1,2,2,2,1,1,2,4,4,2,2,3,3,6,15
1,1,16,1,2,1,3,1,5,5,2,2,2,4,0,2,1,2,2,1,1,1,2,4,3,2,1,1,5,2,12
1,1,15,1,2,1,4,2,5,5,3,1,1,4,0,2,2,2,2,1,1,1,2,3,3,3,1,1,3,0,10
1,2,15,2,2,1,1,1,5,5,2,1,1,2,0,1,1,2,2,2,1,1,1,3,3,4,2,4,5,2,12
1,1,16,1,2,1,3,1,5,5,2,1,1,1,0,2,2,2,1,1,1,2,2,5,3,2,2,2,5,0,13
1,2,16,1,2,1,3,3,5,3,1,1,1,2,0,1,1,2,1,1,1,1,2,4,3,3,2,4,5,4,11
1,1,15,1,2,1,4,3,1,5,1,1,1,2,0,2,1,2,1,1,1,1,2,4,3,3,2,3,5,0,11
1,1,15,1,2,1,4,0,1,5,3,1,2,4,0,2,2,2,1,1,1,1,2,3,4,3,1,1,1,0,11
1,2,16,1,2,1,2,2,5,5,2,1,1,4,0,2,2,2,2,1,1,1,1,5,2,3,1,3,3,1,13
1,1,17,1,2,1,2,1,5,5,1,1,2,1,3,1,1,2,1,1,2,1,2,4,5,1,1,1,3,0,9
1,2,16,1,2,1,3,4,4,5,3,1,1,2,0,2,1,2,2,1,1,1,2,2,4,3,1,2,3,14,11
1,1,15,1,2,1,2,3,5,3,3,2,1,1,0,1,1,2,1,2,1,1,1,3,2,2,1,3,3,0,11
1,1,15,1,2,1,2,3,5,5,1,1,1,3,0,1,2,2,2,2,1,1,2,5,3,2,1,2,5,2,9
1,2,15,1,1,1,3,2,3,5,2,1,1,2,0,2,1,2,2,1,1,1,2,4,4,4,1,1,5,4,11
1,1,15,1,1,1,2,2,3,3,1,1,2,2,0,2,2,1,1,1,1,1,2,5,3,3,1,3,4,2,13
1,2,15,1,2,1,1,1,5,5,1,2,1,2,0,2,1,2,1,2,1,1,2,4,3,2,2,3,4,2,12
1,2,15,1,2,1,4,4,3,3,2,2,2,2,0,2,2,2,2,1,1,1,1,4,4,4,2,3,5,4,12
1,2,16,1,1,1,2,2,4,5,3,1,1,2,0,2,1,2,2,1,1,2,2,4,3,4,1,2,2,6,12
1,2,15,1,2,1,4,2,5,5,2,1,1,3,0,2,1,2,1,1,1,1,2,5,3,3,1,3,1,4,15
1,1,16,1,2,1,2,2,3,5,2,2,2,2,0,2,2,2,1,2,1,1,2,4,4,2,1,1,3,6,11
1,1,16,1,1,2,4,4,1,2,2,1,1,2,0,2,1,2,2,1,1,2,2,4,1,3,3,5,5,6,9
1,2,16,1,2,1,3,3,5,5,1,1,1,3,0,2,1,2,2,1,1,1,1,4,3,3,1,3,4,2,10
1,2,15,1,2,1,4,3,3,5,2,1,1,1,0,2,2,2,1,1,1,1,2,4,5,5,1,3,1,6,13
1,2,16,1,1,1,3,1,5,5,1,2,1,2,0,1,1,2,2,1,1,2,2,3,3,3,2,3,2,0,12
1,2,16,1,2,1,4,2,1,3,1,1,2,2,0,2,1,2,1,1,1,1,2,5,3,3,1,1,1,2,14
1,1,15,1,1,1,2,2,3,2,2,1,1,4,0,2,1,2,1,1,1,1,2,4,3,4,1,1,4,2,12
1,2,15,2,2,1,1,1,4,5,1,1,2,4,0,1,1,1,1,1,1,1,2,3,1,2,1,1,1,4,13
1,1,16,2,2,1,4,3,3,5,2,1,2,1,0,1,1,1,1,2,1,1,2,3,3,3,1,1,4,6,10
1,2,16,1,2,1,2,1,5,5,3,1,1,2,0,2,1,2,2,1,1,2,1,4,3,5,1,1,5,0,12
1,2,16,1,2,1,4,4,5,5,2,1,1,1,0,2,2,2,1,2,1,1,2,5,3,4,1,2,1,4,13
1,2,16,1,2,1,4,3,5,4,3,1,1,3,0,1,1,2,2,1,1,1,2,5,3,5,1,1,3,2,13
1,1,16,1,2,1,4,4,3,3,4,1,1,1,0,1,1,2,1,1,1,1,2,4,5,5,5,5,4,12,9
1,1,16,1,2,1,4,4,3,1,4,2,1,3,0,2,1,2,1,1,1,1,1,4,4,3,1,1,4,0,16
1,1,15,1,2,1,4,4,3,5,3,1,1,1,0,2,1,1,1,2,1,1,2,5,3,3,1,1,5,2,12
1,2,15,1,2,1,3,2,3,5,1,1,2,2,0,1,1,2,2,1,1,1,2,4,3,5,1,1,2,16,10
1,1,15,1,2,2,3,4,3,5,3,1,1,2,0,2,1,2,1,1,1,1,2,5,4,4,1,1,1,0,16
1,2,15,1,2,2,3,3,5,2,2,2,1,4,0,1,2,2,2,1,1,2,2,4,3,3,1,1,4,10,10
1,2,15,1,2,1,2,2,5,5,3,1,1,4,0,1,1,2,2,1,1,1,2,5,1,2,1,1,3,4,10
1,1,16,1,2,1,3,3,3,5,1,2,1,3,0,2,1,2,1,1,1,1,2,5,3,3,1,1,5,4,14
1,1,15,2,2,1,4,4,5,5,1,2,4,4,0,2,1,2,1,1,1,1,1,1,3,5,3,5,1,8,11
1,2,16,1,1,1,4,4,2,2,4,1,1,3,0,2,1,2,1,1,1,1,1,5,4,5,1,1,4,2,15
1,1,15,1,1,2,4,4,1,1,3,1,1,1,0,2,2,2,1,1,1,1,2,5,5,3,1,1,4,4,14
1,2,16,2,2,1,3,3,3,5,2,2,1,3,0,1,1,2,1,1,1,1,2,4,1,2,1,1,2,4,11
1,2,16,1,2,1,2,2,4,5,1,1,1,2,1,1,2,2,1,1,1,1,2,3,1,2,1,1,5,12,9
1,1,15,1,1,1,4,2,1,5,3,1,1,1,0,2,2,2,2,1,1,1,2,3,5,2,1,1,3,10,18
1,1,15,2,2,1,2,1,2,3,2,1,1,2,0,2,2,2,1,1,1,1,1,5,4,2,1,1,5,4,10
1,1,16,1,2,1,4,4,1,1,3,2,1,2,0,2,1,2,1,1,1,1,2,5,4,4,1,2,5,6,15
1,1,15,1,2,1,4,4,5,1,2,2,2,2,0,2,1,2,1,1,1,2,2,4,4,3,1,1,2,4,16
1,1,16,1,2,1,3,3,5,3,1,2,2,1,0,2,2,2,1,1,1,1,2,5,4,2,1,1,5,6,14
1,1,17,2,2,1,1,3,5,5,3,2,3,2,1,2,1,2,1,1,1,1,2,5,2,4,1,4,5,14,11
1,1,15,1,2,1,3,4,5,5,2,2,1,1,0,2,2,2,2,1,1,1,2,3,4,3,1,2,4,2,14
1,2,15,1,2,1,1,2,4,3,3,1,1,2,0,2,2,2,2,2,1,1,2,3,2,3,1,2,1,0,14
1,1,15,1,2,1,2,2,3,3,1,2,1,4,0,2,1,2,1,1,1,1,2,5,5,4,1,2,5,6,13
1,2,16,1,1,1,2,4,5,2,3,2,2,2,0,2,1,2,1,1,1,1,1,4,2,2,1,2,5,2,13
1,1,16,1,2,1,4,4,2,5,3,1,1,1,0,2,1,2,1,1,1,1,2,3,4,4,1,4,5,4,13
1,2,16,1,2,1,2,2,5,5,1,1,1,2,0,2,2,2,2,1,1,1,1,5,4,4,1,1,5,0,11
1,1,15,1,2,1,3,4,3,3,1,2,1,1,0,1,2,2,2,1,1,1,2,5,5,5,3,2,5,2,9
1,2,15,1,1,2,3,4,5,5,1,1,1,2,0,1,2,2,1,1,1,1,1,5,3,2,1,1,1,0,11
1,2,19,1,2,1,0,1,4,5,3,3,1,2,2,2,1,2,2,2,2,2,2,3,4,2,1,1,5,0,10
1,1,16,2,2,1,4,4,1,1,3,1,1,1,0,2,2,2,1,1,1,1,2,3,5,5,2,5,4,8,14
1,1,16,1,2,1,2,3,5,5,3,1,2,3,0,2,1,2,2,2,1,1,1,3,2,3,2,2,1,4,13
1,2,15,2,2,1,3,4,3,1,3,2,2,3,0,2,1,2,2,1,1,1,1,4,2,2,2,2,5,0,11
1,2,18,1,2,1,2,1,3,5,2,1,1,2,3,2,1,2,1,1,2,1,1,5,4,5,1,3,5,10,9
1,2,17,1,1,2,2,1,5,5,3,1,3,1,0,2,1,2,2,1,1,1,2,3,2,2,1,2,5,8,11
1,2,15,1,2,1,1,1,4,5,3,1,3,1,0,2,1,2,1,2,1,1,1,4,3,3,1,2,4,6,12
1,2,17,1,1,1,2,2,5,5,3,2,1,1,0,2,1,2,2,1,1,1,1,3,4,4,1,3,5,2,12
1,2,16,1,2,2,3,4,3,5,3,2,1,1,0,2,2,2,2,1,1,1,2,3,2,1,1,4,5,12,14
1,1,16,1,2,1,2,1,4,5,3,1,4,1,0,2,2,2,2,1,1,2,no,3,2,1,1,1,2,4,10
1,2,16,1,2,2,2,2,5,5,1,1,1,1,1,2,2,2,2,1,1,2,2,5,3,4,1,1,5,12,12
1,1,15,2,2,1,3,4,4,1,3,1,4,2,0,2,1,2,2,1,1,2,1,5,3,3,1,1,5,2,11
1,2,15,1,2,1,4,4,3,4,3,1,1,3,0,2,1,2,1,1,1,1,1,4,3,3,1,1,5,4,14
1,1,17,2,2,1,3,4,4,5,3,1,3,2,0,2,2,2,2,1,1,2,2,5,4,5,2,4,5,2,10
1,2,16,2,2,1,1,1,4,5,3,1,4,2,0,2,1,2,2,1,1,2,2,5,1,3,1,1,3,0,13
1,1,18,1,1,1,3,1,3,3,3,1,2,1,0,2,2,2,1,1,1,1,1,3,3,4,4,5,4,2,11
1,2,18,1,2,2,3,2,5,3,3,3,1,3,0,2,1,2,1,2,1,1,1,4,3,3,5,1,5,10,11
